slice_id,policy_id,policy_label,oracle_policy,target_id,target_label,sampler,updater,feedback_mode,max_rounds,baseline_clip,final_best_clip,delta_clip,baseline_dinov2,final_best_dinov2,delta_dinov2,final_best_image_path,target_path,trace_report
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,diversity_shell,softmax_preference,scalar_rating,5,0.766491,0.838795,0.072304,0.306386,0.623731,0.317345,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_413888027d23.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\sampler_slice\diversity_shell\mountain_lake\trace_report.html
sampler_slice,line_search,Line search,clip_only,mountain_lake,Mountain lake landscape,line_search,softmax_preference,scalar_rating,5,0.799678,0.857469,0.057791,0.454325,0.697038,0.242713,paper\results\method_extension_comparison\runs\sampler_slice\line_search\mountain_lake\runtime\artifacts\cand_c9425fb460f9.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\sampler_slice\line_search\mountain_lake\trace_report.html
sampler_slice,annealed_shell,Annealed shell,clip_only,mountain_lake,Mountain lake landscape,annealed_shell,softmax_preference,scalar_rating,5,0.797457,0.846736,0.049279,0.439861,0.506691,0.06683,paper\results\method_extension_comparison\runs\sampler_slice\annealed_shell\mountain_lake\runtime\artifacts\cand_0ad0041a1c8a.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\sampler_slice\annealed_shell\mountain_lake\trace_report.html
sampler_slice,spherical_cover,Spherical cover,clip_only,mountain_lake,Mountain lake landscape,spherical_cover,softmax_preference,scalar_rating,5,0.840288,0.840288,0.0,0.628911,0.628911,-0.0,paper\results\method_extension_comparison\runs\sampler_slice\spherical_cover\mountain_lake\runtime\artifacts\cand_6a1d85c607fc.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\sampler_slice\spherical_cover\mountain_lake\trace_report.html
preference_slice,softmax_scalar,Softmax preference,clip_only,mountain_lake,Mountain lake landscape,diversity_shell,softmax_preference,scalar_rating,5,0.813469,0.841266,0.027797,0.52045,0.585301,0.064851,paper\results\method_extension_comparison\runs\preference_slice\softmax_scalar\mountain_lake\runtime\artifacts\cand_ef3abe151d62.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\preference_slice\softmax_scalar\mountain_lake\trace_report.html
preference_slice,score_weighted_scalar,Score-weighted preference,clip_only,mountain_lake,Mountain lake landscape,diversity_shell,score_weighted_preference,scalar_rating,5,0.79574,0.835728,0.039988,0.471906,0.557111,0.085205,paper\results\method_extension_comparison\runs\preference_slice\score_weighted_scalar\mountain_lake\runtime\artifacts\cand_7305c5a02560.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\preference_slice\score_weighted_scalar\mountain_lake\trace_report.html
preference_slice,borda_topk,Borda preference,clip_only,mountain_lake,Mountain lake landscape,diversity_shell,borda_preference,top_k,5,0.780828,0.839611,0.058783,0.470742,0.599308,0.128566,paper\results\method_extension_comparison\runs\preference_slice\borda_topk\mountain_lake\runtime\artifacts\cand_dde245b24d62.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\preference_slice\borda_topk\mountain_lake\trace_report.html
preference_slice,bradley_terry_topk,Bradley-Terry preference,clip_only,mountain_lake,Mountain lake landscape,diversity_shell,bradley_terry_preference,top_k,5,0.80859,0.855782,0.047192,0.440781,0.618,0.177219,paper\results\method_extension_comparison\runs\preference_slice\bradley_terry_topk\mountain_lake\runtime\artifacts\cand_a22102438686.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\preference_slice\bradley_terry_topk\mountain_lake\trace_report.html
oracle_slice,clip_only,CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,annealed_shell,softmax_preference,scalar_rating,5,0.797649,0.838159,0.04051,0.43206,0.544437,0.112377,paper\results\method_extension_comparison\runs\oracle_slice\clip_only\mountain_lake\runtime\artifacts\cand_df2767b4df35.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\oracle_slice\clip_only\mountain_lake\trace_report.html
oracle_slice,clip_dino_ensemble,CLIP + DINO ensemble,clip_dino_ensemble,mountain_lake,Mountain lake landscape,annealed_shell,softmax_preference,scalar_rating,5,0.799526,0.852493,0.052967,0.518053,0.622252,0.104199,paper\results\method_extension_comparison\runs\oracle_slice\clip_dino_ensemble\mountain_lake\runtime\artifacts\cand_7ee4062a41a9.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\oracle_slice\clip_dino_ensemble\mountain_lake\trace_report.html
oracle_slice,clip_novelty_bonus,CLIP + novelty bonus,clip_novelty_bonus,mountain_lake,Mountain lake landscape,annealed_shell,softmax_preference,scalar_rating,5,0.843609,0.847009,0.0034,0.538689,0.606057,0.067368,paper\results\method_extension_comparison\runs\oracle_slice\clip_novelty_bonus\mountain_lake\runtime\artifacts\cand_c695efa32727.png,paper\results\method_extension_comparison\targets\Mountain%20lake.jpg,runs\oracle_slice\clip_novelty_bonus\mountain_lake\trace_report.html
sampler_slice,diversity_shell,Diversity shell,clip_only,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,softmax_preference,scalar_rating,5,0.831606,0.882646,0.05104,0.340353,0.39833,0.057977,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\cat_portrait_bw\runtime\artifacts\cand_ee635d4827cc.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\sampler_slice\diversity_shell\cat_portrait_bw\trace_report.html
sampler_slice,line_search,Line search,clip_only,cat_portrait_bw,Black-and-white cat portrait,line_search,softmax_preference,scalar_rating,5,0.863364,0.867266,0.003902,0.498609,0.498609,-0.0,paper\results\method_extension_comparison\runs\sampler_slice\line_search\cat_portrait_bw\runtime\artifacts\cand_854804a7002b.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\sampler_slice\line_search\cat_portrait_bw\trace_report.html
sampler_slice,annealed_shell,Annealed shell,clip_only,cat_portrait_bw,Black-and-white cat portrait,annealed_shell,softmax_preference,scalar_rating,5,0.835482,0.868388,0.032906,0.371025,0.602352,0.231327,paper\results\method_extension_comparison\runs\sampler_slice\annealed_shell\cat_portrait_bw\runtime\artifacts\cand_5d19ae16f08d.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\sampler_slice\annealed_shell\cat_portrait_bw\trace_report.html
sampler_slice,spherical_cover,Spherical cover,clip_only,cat_portrait_bw,Black-and-white cat portrait,spherical_cover,softmax_preference,scalar_rating,5,0.824693,0.874711,0.050018,0.38535,0.614212,0.228862,paper\results\method_extension_comparison\runs\sampler_slice\spherical_cover\cat_portrait_bw\runtime\artifacts\cand_856ecb1c259c.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\sampler_slice\spherical_cover\cat_portrait_bw\trace_report.html
preference_slice,softmax_scalar,Softmax preference,clip_only,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,softmax_preference,scalar_rating,5,0.842731,0.866152,0.023421,0.430185,0.41782,-0.012365,paper\results\method_extension_comparison\runs\preference_slice\softmax_scalar\cat_portrait_bw\runtime\artifacts\cand_16a464e982ad.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\preference_slice\softmax_scalar\cat_portrait_bw\trace_report.html
preference_slice,score_weighted_scalar,Score-weighted preference,clip_only,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,score_weighted_preference,scalar_rating,5,0.839232,0.8672,0.027968,0.417341,0.560101,0.14276,paper\results\method_extension_comparison\runs\preference_slice\score_weighted_scalar\cat_portrait_bw\runtime\artifacts\cand_1f855755e4dd.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\preference_slice\score_weighted_scalar\cat_portrait_bw\trace_report.html
preference_slice,borda_topk,Borda preference,clip_only,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,borda_preference,top_k,5,0.822812,0.86919,0.046378,0.396668,0.229965,-0.166703,paper\results\method_extension_comparison\runs\preference_slice\borda_topk\cat_portrait_bw\runtime\artifacts\cand_a27f00abcf66.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\preference_slice\borda_topk\cat_portrait_bw\trace_report.html
preference_slice,bradley_terry_topk,Bradley-Terry preference,clip_only,cat_portrait_bw,Black-and-white cat portrait,diversity_shell,bradley_terry_preference,top_k,5,0.825075,0.88632,0.061245,0.681297,0.635493,-0.045804,paper\results\method_extension_comparison\runs\preference_slice\bradley_terry_topk\cat_portrait_bw\runtime\artifacts\cand_4312d54e92a7.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\preference_slice\bradley_terry_topk\cat_portrait_bw\trace_report.html
oracle_slice,clip_only,CLIP oracle,clip_only,cat_portrait_bw,Black-and-white cat portrait,annealed_shell,softmax_preference,scalar_rating,5,0.828979,0.880269,0.05129,0.293711,0.650157,0.356446,paper\results\method_extension_comparison\runs\oracle_slice\clip_only\cat_portrait_bw\runtime\artifacts\cand_684b97075430.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\oracle_slice\clip_only\cat_portrait_bw\trace_report.html
oracle_slice,clip_dino_ensemble,CLIP + DINO ensemble,clip_dino_ensemble,cat_portrait_bw,Black-and-white cat portrait,annealed_shell,softmax_preference,scalar_rating,5,0.840265,0.872857,0.032592,0.326469,0.688223,0.361754,paper\results\method_extension_comparison\runs\oracle_slice\clip_dino_ensemble\cat_portrait_bw\runtime\artifacts\cand_43b7402d5048.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\oracle_slice\clip_dino_ensemble\cat_portrait_bw\trace_report.html
oracle_slice,clip_novelty_bonus,CLIP + novelty bonus,clip_novelty_bonus,cat_portrait_bw,Black-and-white cat portrait,annealed_shell,softmax_preference,scalar_rating,5,0.824276,0.870088,0.045812,0.564347,0.642147,0.0778,paper\results\method_extension_comparison\runs\oracle_slice\clip_novelty_bonus\cat_portrait_bw\runtime\artifacts\cand_36e3aaab86c8.png,paper\results\method_extension_comparison\targets\Cat_portrait_B%26W.JPG,runs\oracle_slice\clip_novelty_bonus\cat_portrait_bw\trace_report.html
sampler_slice,diversity_shell,Diversity shell,clip_only,red_bicycle,Red bicycle street photo,diversity_shell,softmax_preference,scalar_rating,5,0.837038,0.909459,0.072421,0.758585,0.764336,0.005751,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\red_bicycle\runtime\artifacts\cand_3a6a0fa024c1.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\sampler_slice\diversity_shell\red_bicycle\trace_report.html
sampler_slice,line_search,Line search,clip_only,red_bicycle,Red bicycle street photo,line_search,softmax_preference,scalar_rating,5,0.813828,0.907896,0.094068,0.74204,0.784546,0.042506,paper\results\method_extension_comparison\runs\sampler_slice\line_search\red_bicycle\runtime\artifacts\cand_78d52cd44c6e.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\sampler_slice\line_search\red_bicycle\trace_report.html
sampler_slice,annealed_shell,Annealed shell,clip_only,red_bicycle,Red bicycle street photo,annealed_shell,softmax_preference,scalar_rating,5,0.803852,0.91802,0.114168,0.741749,0.773025,0.031276,paper\results\method_extension_comparison\runs\sampler_slice\annealed_shell\red_bicycle\runtime\artifacts\cand_6f3c791fbf27.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\sampler_slice\annealed_shell\red_bicycle\trace_report.html
sampler_slice,spherical_cover,Spherical cover,clip_only,red_bicycle,Red bicycle street photo,spherical_cover,softmax_preference,scalar_rating,5,0.85613,0.92769,0.07156,0.662086,0.759677,0.097591,paper\results\method_extension_comparison\runs\sampler_slice\spherical_cover\red_bicycle\runtime\artifacts\cand_14070fa5d447.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\sampler_slice\spherical_cover\red_bicycle\trace_report.html
preference_slice,softmax_scalar,Softmax preference,clip_only,red_bicycle,Red bicycle street photo,diversity_shell,softmax_preference,scalar_rating,5,0.880894,0.929246,0.048352,0.713562,0.740187,0.026625,paper\results\method_extension_comparison\runs\preference_slice\softmax_scalar\red_bicycle\runtime\artifacts\cand_8b1d19d1c173.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\preference_slice\softmax_scalar\red_bicycle\trace_report.html
preference_slice,score_weighted_scalar,Score-weighted preference,clip_only,red_bicycle,Red bicycle street photo,diversity_shell,score_weighted_preference,scalar_rating,5,0.829649,0.903479,0.07383,0.501834,0.812933,0.311099,paper\results\method_extension_comparison\runs\preference_slice\score_weighted_scalar\red_bicycle\runtime\artifacts\cand_71546bde26d5.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\preference_slice\score_weighted_scalar\red_bicycle\trace_report.html
preference_slice,borda_topk,Borda preference,clip_only,red_bicycle,Red bicycle street photo,diversity_shell,borda_preference,top_k,5,0.888292,0.922896,0.034604,0.758921,0.775364,0.016443,paper\results\method_extension_comparison\runs\preference_slice\borda_topk\red_bicycle\runtime\artifacts\cand_0870e4324cfc.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\preference_slice\borda_topk\red_bicycle\trace_report.html
preference_slice,bradley_terry_topk,Bradley-Terry preference,clip_only,red_bicycle,Red bicycle street photo,diversity_shell,bradley_terry_preference,top_k,5,0.759774,0.915447,0.155673,0.488363,0.806571,0.318208,paper\results\method_extension_comparison\runs\preference_slice\bradley_terry_topk\red_bicycle\runtime\artifacts\cand_2765bd9d3720.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\preference_slice\bradley_terry_topk\red_bicycle\trace_report.html
oracle_slice,clip_only,CLIP oracle,clip_only,red_bicycle,Red bicycle street photo,annealed_shell,softmax_preference,scalar_rating,5,0.799579,0.91143,0.111851,0.68742,0.781646,0.094226,paper\results\method_extension_comparison\runs\oracle_slice\clip_only\red_bicycle\runtime\artifacts\cand_19fcd6cb509a.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\oracle_slice\clip_only\red_bicycle\trace_report.html
oracle_slice,clip_dino_ensemble,CLIP + DINO ensemble,clip_dino_ensemble,red_bicycle,Red bicycle street photo,annealed_shell,softmax_preference,scalar_rating,5,0.793849,0.895954,0.102105,0.445788,0.781441,0.335653,paper\results\method_extension_comparison\runs\oracle_slice\clip_dino_ensemble\red_bicycle\runtime\artifacts\cand_ebb2c749e153.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\oracle_slice\clip_dino_ensemble\red_bicycle\trace_report.html
oracle_slice,clip_novelty_bonus,CLIP + novelty bonus,clip_novelty_bonus,red_bicycle,Red bicycle street photo,annealed_shell,softmax_preference,scalar_rating,5,0.839098,0.930907,0.091809,0.570324,0.763111,0.192787,paper\results\method_extension_comparison\runs\oracle_slice\clip_novelty_bonus\red_bicycle\runtime\artifacts\cand_c2c5daca98e7.png,paper\results\method_extension_comparison\targets\The%20Red%20Bicycle.%20%2815655615295%29.jpg,runs\oracle_slice\clip_novelty_bonus\red_bicycle\trace_report.html
