run_id,cell_id,trial_id,repeat_index,prompt_id,prompt_label,baseline_id,baseline_label,session_id,round_id,round_index,candidate_count,feedback_count,render_status,latency_ms,selected_candidate_id
product_hero_shot__seed_fixed_per_round__r1,product_hero_shot__seed_fixed_per_round,r1,0,product_hero_shot,Product hero shot,seed_fixed_per_round,Seed policy: fixed per round,ses_109e8aaf1499,rnd_3ed54495e086,1,5,1,succeeded,75,cand_1b5d5cfe381e
product_hero_shot__seed_fixed_per_round__r1,product_hero_shot__seed_fixed_per_round,r1,0,product_hero_shot,Product hero shot,seed_fixed_per_round,Seed policy: fixed per round,ses_109e8aaf1499,rnd_d68debbe741c,2,5,0,succeeded,75,cand_1b5d5cfe381e
product_hero_shot__seed_fixed_per_round__r2,product_hero_shot__seed_fixed_per_round,r2,1,product_hero_shot,Product hero shot,seed_fixed_per_round,Seed policy: fixed per round,ses_ed4a32952692,rnd_3a07bdadb560,1,5,1,succeeded,75,cand_f5dd6ce700b2
product_hero_shot__seed_fixed_per_round__r2,product_hero_shot__seed_fixed_per_round,r2,1,product_hero_shot,Product hero shot,seed_fixed_per_round,Seed policy: fixed per round,ses_ed4a32952692,rnd_ce7c850f60e5,2,5,0,succeeded,75,cand_f5dd6ce700b2
product_hero_shot__seed_fixed_per_round__r3,product_hero_shot__seed_fixed_per_round,r3,2,product_hero_shot,Product hero shot,seed_fixed_per_round,Seed policy: fixed per round,ses_37f7f43f68d2,rnd_068a4386aa01,1,5,1,succeeded,75,cand_395de517dc2d
product_hero_shot__seed_fixed_per_round__r3,product_hero_shot__seed_fixed_per_round,r3,2,product_hero_shot,Product hero shot,seed_fixed_per_round,Seed policy: fixed per round,ses_37f7f43f68d2,rnd_863af2c5c232,2,5,0,succeeded,75,cand_395de517dc2d
product_hero_shot__seed_fixed_per_candidate__r1,product_hero_shot__seed_fixed_per_candidate,r1,0,product_hero_shot,Product hero shot,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_7a461ca80478,rnd_ff354c617ffb,1,5,1,succeeded,75,cand_7716d3b82af5
product_hero_shot__seed_fixed_per_candidate__r1,product_hero_shot__seed_fixed_per_candidate,r1,0,product_hero_shot,Product hero shot,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_7a461ca80478,rnd_898ff4df63e7,2,5,0,succeeded,75,cand_7716d3b82af5
product_hero_shot__seed_fixed_per_candidate__r2,product_hero_shot__seed_fixed_per_candidate,r2,1,product_hero_shot,Product hero shot,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_d4e9a28db87e,rnd_d89fe60e6159,1,5,1,succeeded,75,cand_dad6056415f1
product_hero_shot__seed_fixed_per_candidate__r2,product_hero_shot__seed_fixed_per_candidate,r2,1,product_hero_shot,Product hero shot,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_d4e9a28db87e,rnd_65a36022a33b,2,5,0,succeeded,75,cand_dad6056415f1
product_hero_shot__seed_fixed_per_candidate__r3,product_hero_shot__seed_fixed_per_candidate,r3,2,product_hero_shot,Product hero shot,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_908384cb0673,rnd_f3368043f59f,1,5,1,succeeded,75,cand_aa19c96f4e59
product_hero_shot__seed_fixed_per_candidate__r3,product_hero_shot__seed_fixed_per_candidate,r3,2,product_hero_shot,Product hero shot,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_908384cb0673,rnd_970731e5c5b9,2,5,0,succeeded,75,cand_aa19c96f4e59
portrait_character__seed_fixed_per_round__r1,portrait_character__seed_fixed_per_round,r1,0,portrait_character,Portrait / character,seed_fixed_per_round,Seed policy: fixed per round,ses_9890190f3e83,rnd_2f022a19915e,1,5,1,succeeded,75,cand_dd4d608c6d8b
portrait_character__seed_fixed_per_round__r1,portrait_character__seed_fixed_per_round,r1,0,portrait_character,Portrait / character,seed_fixed_per_round,Seed policy: fixed per round,ses_9890190f3e83,rnd_0c810a548023,2,5,0,succeeded,75,cand_dd4d608c6d8b
portrait_character__seed_fixed_per_round__r2,portrait_character__seed_fixed_per_round,r2,1,portrait_character,Portrait / character,seed_fixed_per_round,Seed policy: fixed per round,ses_b6e0bfec954a,rnd_71353b978cc8,1,5,1,succeeded,75,cand_c282bfd11865
portrait_character__seed_fixed_per_round__r2,portrait_character__seed_fixed_per_round,r2,1,portrait_character,Portrait / character,seed_fixed_per_round,Seed policy: fixed per round,ses_b6e0bfec954a,rnd_54a43928ef89,2,5,0,succeeded,75,cand_c282bfd11865
portrait_character__seed_fixed_per_round__r3,portrait_character__seed_fixed_per_round,r3,2,portrait_character,Portrait / character,seed_fixed_per_round,Seed policy: fixed per round,ses_66b569f70b4a,rnd_90a41caf1e73,1,5,1,succeeded,75,cand_c185e2837539
portrait_character__seed_fixed_per_round__r3,portrait_character__seed_fixed_per_round,r3,2,portrait_character,Portrait / character,seed_fixed_per_round,Seed policy: fixed per round,ses_66b569f70b4a,rnd_3957ca9cec1f,2,5,0,succeeded,75,cand_c185e2837539
portrait_character__seed_fixed_per_candidate__r1,portrait_character__seed_fixed_per_candidate,r1,0,portrait_character,Portrait / character,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_ed7309b8b10f,rnd_48ab5e323516,1,5,1,succeeded,75,cand_13a3e43a2ef1
portrait_character__seed_fixed_per_candidate__r1,portrait_character__seed_fixed_per_candidate,r1,0,portrait_character,Portrait / character,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_ed7309b8b10f,rnd_6c01ca579b85,2,5,0,succeeded,75,cand_13a3e43a2ef1
portrait_character__seed_fixed_per_candidate__r2,portrait_character__seed_fixed_per_candidate,r2,1,portrait_character,Portrait / character,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_597984d232f1,rnd_2c1a2a471b6d,1,5,1,succeeded,75,cand_1214f034447d
portrait_character__seed_fixed_per_candidate__r2,portrait_character__seed_fixed_per_candidate,r2,1,portrait_character,Portrait / character,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_597984d232f1,rnd_6b0ec03e6410,2,5,0,succeeded,75,cand_1214f034447d
portrait_character__seed_fixed_per_candidate__r3,portrait_character__seed_fixed_per_candidate,r3,2,portrait_character,Portrait / character,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_d269bc017bfe,rnd_73390432731f,1,5,1,succeeded,75,cand_24ded73a3a2d
portrait_character__seed_fixed_per_candidate__r3,portrait_character__seed_fixed_per_candidate,r3,2,portrait_character,Portrait / character,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_d269bc017bfe,rnd_42c069f837cc,2,5,0,succeeded,75,cand_24ded73a3a2d
landscape_environment__seed_fixed_per_round__r1,landscape_environment__seed_fixed_per_round,r1,0,landscape_environment,Landscape / environment,seed_fixed_per_round,Seed policy: fixed per round,ses_b080a3e2d541,rnd_0302d561218d,1,5,1,succeeded,75,cand_e5e8f84e3d8f
landscape_environment__seed_fixed_per_round__r1,landscape_environment__seed_fixed_per_round,r1,0,landscape_environment,Landscape / environment,seed_fixed_per_round,Seed policy: fixed per round,ses_b080a3e2d541,rnd_63d5856dfe39,2,5,0,succeeded,75,cand_e5e8f84e3d8f
landscape_environment__seed_fixed_per_round__r2,landscape_environment__seed_fixed_per_round,r2,1,landscape_environment,Landscape / environment,seed_fixed_per_round,Seed policy: fixed per round,ses_8e08f131ef96,rnd_d2a70008d10d,1,5,1,succeeded,75,cand_bffca6c78124
landscape_environment__seed_fixed_per_round__r2,landscape_environment__seed_fixed_per_round,r2,1,landscape_environment,Landscape / environment,seed_fixed_per_round,Seed policy: fixed per round,ses_8e08f131ef96,rnd_5b68bede4165,2,5,0,succeeded,75,cand_bffca6c78124
landscape_environment__seed_fixed_per_round__r3,landscape_environment__seed_fixed_per_round,r3,2,landscape_environment,Landscape / environment,seed_fixed_per_round,Seed policy: fixed per round,ses_b788127d5328,rnd_199e831191dc,1,5,1,succeeded,75,cand_04adff13ac9a
landscape_environment__seed_fixed_per_round__r3,landscape_environment__seed_fixed_per_round,r3,2,landscape_environment,Landscape / environment,seed_fixed_per_round,Seed policy: fixed per round,ses_b788127d5328,rnd_98551ae5f938,2,5,0,succeeded,75,cand_04adff13ac9a
landscape_environment__seed_fixed_per_candidate__r1,landscape_environment__seed_fixed_per_candidate,r1,0,landscape_environment,Landscape / environment,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_b078542fad44,rnd_3e97592c3a51,1,5,1,succeeded,75,cand_560b8bd844a9
landscape_environment__seed_fixed_per_candidate__r1,landscape_environment__seed_fixed_per_candidate,r1,0,landscape_environment,Landscape / environment,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_b078542fad44,rnd_fed282da0dfd,2,5,0,succeeded,75,cand_560b8bd844a9
landscape_environment__seed_fixed_per_candidate__r2,landscape_environment__seed_fixed_per_candidate,r2,1,landscape_environment,Landscape / environment,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_3f5871b62cf6,rnd_ce0bdfa2c5fb,1,5,1,succeeded,75,cand_9e2e6365f3a5
landscape_environment__seed_fixed_per_candidate__r2,landscape_environment__seed_fixed_per_candidate,r2,1,landscape_environment,Landscape / environment,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_3f5871b62cf6,rnd_a35401b80d40,2,5,0,succeeded,75,cand_9e2e6365f3a5
landscape_environment__seed_fixed_per_candidate__r3,landscape_environment__seed_fixed_per_candidate,r3,2,landscape_environment,Landscape / environment,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_ac92f37f7b7f,rnd_115a6a2e495b,1,5,1,succeeded,75,cand_d49566da1b49
landscape_environment__seed_fixed_per_candidate__r3,landscape_environment__seed_fixed_per_candidate,r3,2,landscape_environment,Landscape / environment,seed_fixed_per_candidate,Seed policy: fixed per candidate,ses_ac92f37f7b7f,rnd_be1bc69f2f78,2,5,0,succeeded,75,cand_d49566da1b49
